"bbIDM17","bbIDM18","bbSPE17","bbSPE18","bbGRO17","bbGRO18","sbIDM17","sbIDM18","sbSPE17","sbSPE18","sbGRO17","sbGRO18","hvIDM17","hvIDM18","hvSPE17","hvSPE18","hvGRO17","hvGRO18","sites"
2.20064953026189,2.21524171529155,1.82896449313568,1.74716870431049,1.61281478867913,1.70938546554018,3.5907761143104,3.57842537670687,2.64495561111003,2.46352162090888,2.77759570068876,2.71878514770852,2.3031668866818,3.30107693311809,2.94515018155842,2.87390089803805,2.23118043890458,2.53528144616913,"NC0429"
2.24461968042241,2.20382542726018,1.92192769049315,1.72011029786145,1.52734063656332,1.67901059001526,3.5851570571215,3.57894637293735,2.52389247302403,2.81638359415216,2.77363173902927,2.78332999109735,3.16472534477616,2.13078911271239,2.93285262690281,3.09104012497412,2.44296184495788,2.44034650529271,"NC2313"
2.26844388185952,2.27034078150306,2.01502608251721,2.33006061436437,1.67575565230164,1.57855177589001,3.55905500683695,3.58722186847078,2.60584645055987,2.4947906348415,2.77917258785506,2.79215145464119,3.04110258954188,3.29912768132629,2.99519997333041,3.1640452709649,2.31696262747949,1.77168612759812,"NC5762"
2.10901260179004,2.25970825285488,2.09747245487408,2.16459751773209,1.65403982851867,1.67398578363338,3.5748856665306,3.58650179760489,2.47811096698838,2.89205954539548,2.76747311579944,2.78354924104995,2.65212909950737,3.20129378240203,3.48107415216828,3.02692329203757,2.56267833929689,2.41469087010887,"NC7158"
2.24216582571361,2.21653492498563,2.04663072545458,1.92258205222506,1.64864452312691,1.69336800590298,3.55151615737045,3.57668893350349,2.53980168971402,2.65821251010298,2.76333141123329,2.77608864046364,2.9379095230646,3.29453229590389,2.85665875016996,2.8887161828578,2.48515213221245,2.39123805452781,"NJ0327"
2.22003769537522,2.28849157468276,2.0788333160589,2.14715758355147,1.68704702912581,1.68240767514336,3.58820747495223,3.56150837462423,2.55462351916294,2.47179473869458,2.73899655988562,2.77763291232837,2.99653917729176,3.30927476270973,2.98742706167638,3.21327501781279,2.18169174321561,2.25701198975189,"NJ6415"
2.09726149292347,2.16947369217757,1.97067198224347,1.85637539767174,1.68744892303861,1.59018330172846,3.56239871584088,3.59045880473636,2.95478083010792,2.54472557654031,2.76688398904016,2.78375832947165,3.20700963541571,3.18861998277562,3.37509544442693,3.23792420065919,2.23511458831144,1.97250067563305,"NJ7638"
2.17441042683562,2.19039235474783,1.81061657426043,1.68966330449821,1.69265610280044,1.70161233960444,3.5865948804945,3.54381709585644,2.57705365728607,2.73149582186755,2.76571797737715,2.77200206188582,3.38887552537899,3.68154400486168,3.06646569884911,3.01045238232353,2.14187984918799,2.34155534254738,"NN5527"
2.2488519191331,2.26556750197567,2.04656528570726,2.14115683898753,1.58908749447898,1.5839085376057,3.58887970394943,3.57497221894328,2.22612047574085,2.51190931823014,2.79422862216564,2.72850097487433,3.42184776320907,2.62899561802803,3.48220920123773,3.16703917851669,2.15667018718692,2.58669718673954,"NN6693"
2.14472386734358,2.18883093970523,1.94846458382753,1.94045940857307,1.7132787360708,1.73220329808481,3.58434287065946,3.56226113942741,2.41062047660519,2.58577189579108,2.76113942976403,2.78256119257811,3.29921484332318,3.17474498095196,3.17354012892269,3.38248220762167,2.45081802394587,2.11369945349627,"NN7911"
2.1597782703967,2.20793238599648,1.85911802888868,2.05829121377204,1.70695760904484,1.64625346200094,3.5736525480989,3.58097085411686,2.47476523839359,2.83551675899624,2.76372965928383,2.77930424414761,3.32126583086571,3.24588027403166,3.19090858911364,2.93839449939829,2.45848234302923,2.32327778926577,"NN8369"
1.97724078032239,2.26549928563147,2.0289317474881,2.14485697241725,1.56959739124897,1.58390388748446,3.57560596914867,3.58647442511256,2.92734990895539,2.73731144193603,2.76551408713112,2.77108030843218,2.66832779814273,3.29628863581856,3.14913876045086,3.14938353288294,1.50101457495024,1.55584317106562,"NN8664"
2.04093786400057,2.18467746506642,2.07129035669963,1.75939076128256,1.587248872795,1.67993324523503,3.59465144278724,3.57197574054164,3.047926296258,2.94559792171544,2.78157169875262,2.78132790114213,3.37053945180081,3.1369643796768,3.30394852420145,3.01283855125503,2.07247991940391,2.58575637631129,"NO7495"
2.09843401907293,2.11980309301676,1.9104154949381,2.1326901197457,1.56768897307791,1.55491486794443,3.58518432428031,3.55040221724894,3.09183441596133,2.8772262602025,2.78635951567132,2.77561301419212,3.54160330268902,3.15282027268835,3.28959983318507,3.26006496035707,2.45014516064526,2.14701570233182,"NS2366"
2.13306827046556,2.22883025709013,1.83034052962232,2.0650765339361,1.54422378569394,1.65317999525627,3.59918680865306,3.5790001019498,2.31327925854802,2.65998840190253,2.75382396456441,2.721501248449,3.16764110581763,3.31006841972697,3.01468944993459,2.94857470677398,1.95034729151096,2.24391751950345,"NS4085"
2.05169954858195,2.15288225776025,2.02037677614079,2.0550782784997,1.64633322407627,1.66086346964431,3.57806432238181,3.56016921313253,3.11351799022308,2.86141761615165,2.73648221026349,2.79473273577022,3.14891850503079,3.41493674780209,3.2495321596573,3.39586810382817,2.45385445821513,2.50802741697599,"NS5873"
2.10814264687105,2.15775104979693,1.9314620347275,2.08315564196002,1.65161545829755,1.63988732162745,3.58169873632647,3.5915880754448,3.11949814344861,2.63963799653703,2.78199056247283,2.77222655356616,3.6337245756163,3.8078285420778,3.37403412677706,3.08334403322217,2.49287621544312,2.52557667945889,"NS9052"
