"sites","bb_IDM_0","bb_IDM_1","bb_IDM_2","bb_SPE_0","bb_SPE_1","bb_SPE_2","bb_GRO_0","bb_GRO_1","bb_GRO_2","hv_IDM_0","hv_IDM_1","hv_IDM_2","hv_SPE_0","hv_SPE_1","hv_SPE_2","hv_GRO_0","hv_GRO_1","hv_GRO_2","sb_IDM_0","sb_IDM_1","sb_IDM_2","sb_SPE_0","sb_SPE_1","sb_SPE_2","sb_GRO_0","sb_GRO_1","sb_GRO_2","region"
"NC0429",17,16.7784517625118,16.5568978138945,17,12.4862928745209,9.61752165035259,17,16.864443638424,16.7317601221425,79,77.6193313681021,76.1696292747189,79,71.8943036363953,64.4039336835092,79,78.3458865358382,77.6992790584468,70,69.3506867626548,68.6974448236211,70,60.0170073711112,53.3418714075756,70,4.87322978460375,2.74358069139516,"SCO"
"NC2313",17,16.7770341142025,16.5615112566761,17,12.0816807032208,8.33290688185494,17,16.8566771857319,16.7108960554948,79,74.4708700253502,65.9181737384531,79,69.2140578862492,60.5601679705453,79,78.4548525805458,77.9195707414998,70,69.3184161720611,68.5878962437943,70,60.9928292525121,53.5732746946485,70,4.75939453871001,2.69772599093083,"SCO"
"NC5762",17,15.5658485119335,14.1072197719477,17,11.0130994338981,9.15133980830373,17,16.7072850312483,16.4139998512388,79,77.0076122310973,74.555871221332,79,72.0524744749877,66.0984857471107,79,78.6885289677642,78.3828886148439,70,68.727924514709,67.1672235701507,70,56.7964700638732,42.7824873849873,70,4.88360441533254,2.75445294118296,"SCO"
"NC7158",17,16.8029198778043,16.6221992797778,17,14.943924626757,13.4558034871107,17,16.9262881133901,16.850891812169,79,75.2019723266319,69.5567550650532,79,69.345583143105,60.8167473746464,79,78.4897881584897,77.9750507056277,70,68.8136548984347,67.2795230185229,70,56.3827926874651,41.8542370916137,70,4.75394880742644,2.70235879920819,"SCO"
"NJ0327",17,15.3255534958262,13.7960763969096,17,8.89464962556633,6.61215960760585,17,16.9346706241279,16.8687259877813,79,62.1919487778888,33.9696836195892,79,51.6062048063351,23.3097311748908,79,78.4631710013754,77.9163253780676,70,62.1623562748527,46.4131186547348,70,25.4507550578991,6.80664318024291,70,4.20519584195023,2.56410018700276,"SCO"
"NJ6415",17,8.30497999545722,4.17380370092196,17,2.01808738074945,1.30758781786468,17,16.8020825610603,16.6046000182792,79,73.9139511085582,68.4448687014253,79,68.5498388699876,60.3266108140717,79,78.3744836572964,77.7474522374788,70,69.369821715995,68.7062251250698,70,57.4854396049769,47.0167298811523,70,5.02808032280009,2.79625569952048,"SCO"
"NJ7638",17,16.1217326718896,15.0778830757,17,12.5899263811274,9.89965701380871,17,16.8112832482095,16.6292116971142,79,75.6243295287619,71.8488255583775,79,69.2575783538972,60.5586406551706,79,78.5198679537892,78.0309991555652,70,69.0384170944689,67.9210330686532,70,60.7219138293126,51.5352671672305,70,5.00948562631259,2.76733993094848,"SCO"
"NN5527",17,12.6490829365128,9.39414559319496,17,11.1095313973695,8.25644376131374,17,16.873236439261,16.7453772781845,79,72.1400218698582,61.2661023284141,79,59.8003570417435,36.0517452657573,79,78.6116001966184,78.2308345067544,70,68.6867896948627,66.9692613692146,70,59.4298926495328,49.2858126328693,70,4.64851335768532,2.68150040722666,"SCO"
"NN6693",17,15.6545867278378,14.1986391933867,17,9.65283422544005,6.03891421253949,17,16.8375472863539,16.6782606518595,79,74.2447978025373,66.1817106734186,79,63.4964923669298,44.6574335398798,79,78.4876860514447,77.976853541701,70,69.0448816502785,68.0593781148263,70,58.2764352925049,47.8474402114362,70,4.52510282162834,2.66516686338626,"SCO"
"NN7911",17,16.3154919398559,15.5454783238591,17,12.629439970698,9.72327780439996,17,16.9099344818969,16.81587848559,79,77.2292887015934,75.1610695168933,79,64.7875596805452,49.9086385465034,79,78.503269957035,78.0099695675314,70,69.099740098829,68.0063506508379,70,53.8707341618362,36.523472662481,70,5.65873851954912,2.96104695446287,"SCO"
"NN8369",17,14.4073556273697,11.4154765302547,17,9.53494451113741,5.91943857127307,17,16.7791695724354,16.54833858255,79,76.5959108094058,73.3083198097321,79,65.3943060185952,54.5889586636858,79,78.3908935631951,77.7741768414741,70,69.1704941557883,68.218468230896,70,58.1763576119293,45.9870335288055,70,4.52657740062005,2.64351455781274,"SCO"
"NN8664",17,13.0793303263533,10.0956826729595,17,7.80270820953704,4.9017570871331,17,16.9109355438846,16.8254089904907,79,76.9545390590796,74.6977215487684,79,69.9775624821825,62.1599787893029,79,78.5645779836221,78.1351365931881,70,69.3046399742825,68.5859392509474,70,60.1345775375645,51.7516686123068,70,5.17519143084398,2.80554921146845,"SCO"
"NO7495",17,16.353984869311,15.629728388808,17,7.14656538385796,3.82504354725437,17,16.9157818833138,16.8332510691675,79,74.9370289448914,69.9408164756558,79,68.1227086461114,57.5043902926531,79,78.4014982306617,77.8020351078819,70,69.3263664518802,68.5820086165832,70,62.1279956884018,55.7192021309254,70,4.44914761022189,2.6389450218288,"SCO"
"NS2366",17,16.7893435984078,16.5847121870734,17,8.83562248315211,6.10355102725127,17,16.8850789284694,16.7690950393959,79,67.1640331281142,53.4334453697602,79,66.2701853850772,55.8677199495566,79,78.5569329638108,78.1082150112785,70,69.3632226631688,68.7491819877463,70,65.5001788541656,61.17635390477,70,4.77117314835361,2.69698462071246,"SCO"
"NS4085",17,16.4646548303257,15.8686859531045,17,7.74375103234275,4.31736625923686,17,16.8696009000617,16.7442705521532,79,75.5508241074006,71.3513098397177,79,68.0975114577161,57.0875975521788,79,78.6500685787016,78.3050436640585,70,69.1474148795362,68.082230409493,70,61.3177023267873,54.6950525769879,70,5.25726253496178,2.844038467777,"SCO"
"NS5873",17,16.7373475463065,16.4868604468685,17,12.6339932515067,9.22478274947106,17,16.8838362826034,16.7649370756865,79,67.6295436894367,54.4303204998036,79,51.0272810373215,31.7570972705824,79,78.4845804943748,77.96957280912,70,69.2913549573498,68.5787117585064,70,61.8338107568207,55.2387040149297,70,4.09458758879856,2.53705743305781,"SCO"
"NS9052",17,15.4189003245598,13.848741935194,17,9.33565309625219,7.14697488271389,17,16.8792752926194,16.7572530809279,79,75.8801411780311,72.3853225354345,79,69.4066431502616,60.2165675456403,79,78.6185829329097,78.2313657398021,70,69.3508925214013,68.6780776408946,70,54.5627300663601,40.2231442788696,70,4.80424742836666,2.71414342632073,"SCO"
"NT2023",17,14.4384236132481,12.0028622951473,17,10.2474962223846,6.81820127341518,17,16.8811079716051,16.7640640322081,79,68.2245690978358,55.3520444874987,79,62.4083544099921,50.2906149641196,79,78.4998194828452,77.9765203660454,70,69.486453942916,68.9850932533612,70,60.9961297310976,51.4635343985565,70,4.48705409616469,2.6283786855507,"SCO"
"NT4470",17,16.8952946950664,16.7942589915564,17,11.9893865861332,9.16483834215776,17,16.9312292682095,16.8659968343617,79,62.6954726694213,41.4157333693975,79,66.7183541964405,53.7237906120643,79,78.5021719572947,77.9956156135733,70,69.434829484524,68.8573874802547,70,62.5684786516757,56.0626620488526,70,4.28444055160184,2.56684119677338,"SCO"
"NT5824",17,15.9529645826295,14.9174705433234,17,10.7856110278593,8.31150783465349,17,16.8945787963203,16.7956467672813,79,74.6718394854038,69.5447988598119,79,69.7468084984961,62.3274832296967,79,78.5073167815017,78.0160597160816,70,68.6955405182068,66.7583226288142,70,61.1401236606933,52.2775406461337,70,4.72030101363166,2.69570358629223,"SCO"
