"sites","bb_IDM_0","bb_IDM_1","bb_IDM_2","bb_SPE_0","bb_SPE_1","bb_SPE_2","bb_GRO_0","bb_GRO_1","bb_GRO_2","hv_IDM_0","hv_IDM_1","hv_IDM_2","hv_SPE_0","hv_SPE_1","hv_SPE_2","hv_GRO_0","hv_GRO_1","hv_GRO_2","sb_IDM_0","sb_IDM_1","sb_IDM_2","sb_SPE_0","sb_SPE_1","sb_SPE_2","sb_GRO_0","sb_GRO_1","sb_GRO_2","region"
"NC0429",17,16.8610465643537,16.7142694176975,17,10.131720309457,6.31700259050475,17,16.8676653446987,16.7341755554136,79,70.4415951637245,55.8704373602421,79,68.8060177509988,59.7171628989442,79,78.5404331152392,78.0763993943238,70,69.0909366724416,68.0476362576392,70,61.9162003875281,55.4441282493664,70,69.4867645957418,68.978413151547,"SCO"
"NC2313",17,16.6235511939531,16.2717977848819,17,13.2267859415514,10.5949703656731,17,16.8974937236473,16.7936753172557,79,75.7278113001692,72.7111400611288,79,70.3212293045334,63.0875457106558,79,78.4393617071294,77.8677371227214,70,69.277066862539,68.5282741639687,70,55.4719879408489,37.7756965161783,70,69.6811909938666,69.3703282911459,"SCO"
"NC5762",17,14.703246756982,12.647921594347,17,11.5687850867213,8.0662158218455,17,16.8750661217712,16.7471681657506,79,74.8295406634566,70.1107384740015,79,70.461376684278,61.4486893272584,79,78.6162159691817,78.2428962606722,70,68.1406310876907,65.0693202782053,70,59.0385813951524,48.9185280939154,70,69.622715427238,69.2292029505163,"SCO"
"NC7158",17,16.068584251959,14.9365866400122,17,9.76604749917776,5.56863842621846,17,16.8794658587615,16.7498996176568,79,72.9141600435239,65.5678428187298,79,71.3352469702046,63.3478134545673,79,78.2545626785041,77.4717670856885,70,69.5072558512871,69.0208530629534,70,54.5428762821197,39.410097705831,70,69.5645765447843,69.1105863065809,"SCO"
"NJ0327",17,15.684248939171,14.3168733931246,17,11.0026046972044,7.27140580855691,17,16.9259101983548,16.8518812799608,79,63.2763345984847,39.4910891886011,79,61.9583401696417,41.4719602616019,79,78.3903640563607,77.8047438618497,70,59.9104479189368,40.1664621090015,70,55.9528419826144,39.1646547066835,70,69.5146938475745,69.0038831211385,"SCO"
"NJ6415",17,11.1915029865222,6.66131868013141,17,4.34487874447204,2.16902483169012,17,16.883544977502,16.7714445622543,79,74.2827893641152,70.6712717496093,79,69.3484266441799,60.6810769252219,79,78.4782646763485,77.9627046779893,70,68.6072497133071,66.7720651077195,70,61.0915869748822,53.5345585718758,70,69.6399364170707,69.27605003638,"SCO"
"NJ7638",17,15.6414785889109,14.1545581773057,17,13.997515259864,12.4423735345427,17,16.8789129511995,16.7502293953281,79,74.0041684602888,69.6759693733718,79,67.1619451386568,56.8865746979507,79,78.3328143702967,77.5796761407019,70,69.1146013852861,68.1783300100514,70,56.0264028481205,39.0381948276719,70,69.5061837109495,69.0075679646731,"SCO"
"NN5527",17,14.2356327880587,11.558233026787,17,9.74087005866275,6.40525889906003,17,16.9171596557005,16.8364248553859,79,65.1427197572055,45.5519365396267,79,68.6121450849093,59.5632999316267,79,78.4039956739352,77.7773738752782,70,67.1056252218045,62.3754849249461,70,62.1171628117591,56.0769012363029,70,69.4989107492461,69.0047007463419,"SCO"
"NN6693",17,16.0077362678617,15.1164578749015,17,12.8313585770343,10.3522286918078,17,16.7385481893623,16.4598632558853,79,61.1428043171238,39.7645898882904,79,67.1360477142387,54.0352386428687,79,78.5466213284058,78.0886397061303,70,68.9400810075746,67.6567522888862,70,62.1079326086729,53.8779364053545,70,69.6270093930306,69.2701394436857,"SCO"
"NN7911",17,16.5948227356223,16.178919233196,17,12.1701963032367,8.52481473158279,17,16.9436110856447,16.887591724167,79,73.1226815337757,65.8796834820021,79,70.2022458512053,62.5904574942181,79,78.5300365930996,78.0439900222449,70,68.7757291790915,67.2908445700004,70,59.5082655004406,49.2891406537438,70,69.4727053544565,68.9349698138846,"SCO"
