"insects","model","variable","value","sd","lower","upper"
"Bumblebees","IDMSH","muLatitude",0.159601581282027,0.209298719427387,-0.253706184373902,0.578246132780971
"Bumblebees","SOM","muLatitude",0.987572437302165,0.648841750962353,-0.0833440133680096,2.63354376245359
"Bumblebees","IDMCO","muLatitude",-0.309381993537721,0.209324421656972,-0.731975440241031,0.0931089423974047
"Bumblebees","IGSH","muLatitude",-0.461845561202768,0.214673144175664,-0.898005742094729,-0.0509951456486268
"Bumblebees","IGCO","muLatitude",-0.464700829439378,0.187941151126051,-0.84647950444816,-0.106692416890811
"Hoverflies","IDMSH","muLatitude",0.0389483424543587,0.142119791979052,-0.233188829662281,0.333580067001495
"Hoverflies","SOM","muLatitude",-0.085502994540053,0.290869031010014,-0.587135754431399,0.522125500078215
"Hoverflies","IDMCO","muLatitude",-0.254661205764655,0.189580449281902,-0.632969252862952,0.105134174569229
"Hoverflies","IGSH","muLatitude",-0.388166637157339,0.370686739784836,-1.10657064877391,0.406788248020542
"Hoverflies","IGCO","muLatitude",-0.67900828853065,0.969278381441476,-2.57210701056766,0.981938364200173
"Solitary bees","IDMSH","muLatitude",-2.07045846988942,0.312597032678889,-2.67042117722482,-1.45683424511079
"Solitary bees","SOM","muLatitude",-1.65751491978059,0.235435278584164,-2.12698349508006,-1.20756365416801
"Solitary bees","IDMCO","muLatitude",-1.35185054369706,0.228979927664983,-1.77407861370943,-0.895649167120122
"Solitary bees","IGSH","muLatitude",-1.76820186935778,1.53540496875052,-4.92780736321143,0.309382112576051
"Solitary bees","IGCO","muLatitude",-0.742130569453969,0.232868449597762,-1.20944843664117,-0.302667859755878
"Bumblebees","IDMSH","muSpecies",-1.81394453644874,0.359151596586701,-2.54947617477615,-1.13653764832103
"Bumblebees","SOM","muSpecies",0.492569131607965,0.951526400714188,-1.05268002315504,2.71779869778398
"Bumblebees","IDMCO","muSpecies",-0.00102618058357249,0.565288123378903,-1.04383315614248,1.2565703492743
"Bumblebees","IGSH","muSpecies",-3.92384325899088,0.570062321525849,-5.53480567102412,-3.26048507771348
"Bumblebees","IGCO","muSpecies",-0.0656330705214853,10.0741791754847,-20.0300232443027,19.6169894488218
"Hoverflies","IDMSH","muSpecies",-1.22965302192091,0.577073593574958,-2.37911669019603,-0.501952971400498
"Hoverflies","SOM","muSpecies",-0.938051180490495,0.558742247266288,-2.05719388947048,-0.0127146001130087
"Hoverflies","IDMCO","muSpecies",0.398177957007762,0.346598551302486,-0.265083503383131,1.11208339006286
"Hoverflies","IGSH","muSpecies",-14.1443448836867,2.31083214069907,-19.5705730999366,-10.7034348358878
"Hoverflies","IGCO","muSpecies",0.0537163488949318,10.0338280033614,-19.6540529533099,19.6633756546137
"Solitary bees","IDMSH","muSpecies",-3.48813572695359,0.388034424071715,-4.25218188921526,-2.81080081349481
"Solitary bees","SOM","muSpecies",-2.47958551770934,0.227818299871215,-2.92818788179449,-2.03306267377396
"Solitary bees","IDMCO","muSpecies",-2.76207507360173,0.285465506368912,-3.34337543077707,-2.22338028382712
"Solitary bees","IGSH","muSpecies",-29.5550495829349,5.91975827817149,-40.1677282430711,-20.9147830461678
"Solitary bees","IGCO","muSpecies",-0.142731131877598,9.88346415352435,-19.4260756695327,19.3314362865386
"Bumblebees","IDMSH","mulambda",-0.101550654468589,9.98141755915744,-19.8741103828311,19.8843160135738
"Bumblebees","SOM","mulambda",0.142120357829324,9.9426562889998,-19.4154217355555,19.8173667407769
"Bumblebees","IDMCO","mulambda",-3.54141336426127,0.982990848425129,-5.44362042148491,-1.57837274319373
"Bumblebees","IGSH","mulambda",-0.0155996458922257,9.98849395721492,-19.4870859300987,19.682665194649
"Bumblebees","IGCO","mulambda",-3.48348035814819,0.994075205463784,-5.39297137310086,-1.45540876601057
"Hoverflies","IDMSH","mulambda",-0.000261258261333732,10.0267382241828,-19.596168070449,19.3357135737199
"Hoverflies","SOM","mulambda",-0.0463905920125888,10.0349208600019,-19.9036494729904,19.5967450551872
"Hoverflies","IDMCO","mulambda",-8.05992326619056,1.07495397199797,-10.0628791806735,-5.94205256214712
"Hoverflies","IGSH","mulambda",0.0545827623789402,9.92062086694448,-19.2435973847621,19.3086759444479
"Hoverflies","IGCO","mulambda",-21.8405565335902,1.65573015775457,-24.7609462176465,-18.5392924332373
"Solitary bees","IDMSH","mulambda",-0.0208975300641654,10.0126893665681,-19.7862896441611,19.5038015905435
"Solitary bees","SOM","mulambda",0.0817862184536682,9.96060831551994,-19.6456690399651,19.4212555293413
"Solitary bees","IDMCO","mulambda",-8.10258732247441,0.987554254087073,-9.98945188713039,-6.07088731241225
"Solitary bees","IGSH","mulambda",0.0615776629892693,10.0207846597798,-19.8561451762477,19.6298528992868
"Solitary bees","IGCO","mulambda",-7.27372040024177,1.01062192588746,-9.20265877010142,-5.2324421158691
"Bumblebees","IDMSH","rho",0.257010610263611,0.0327071419281337,0.198665192088952,0.32569957250714
"Bumblebees","SOM","rho",4.98947050522399,2.87767022414762,0.257445053538599,9.76736015732092
"Bumblebees","IDMCO","rho",1.78220342096931,0.475658267560689,1.10316644938038,2.9190671549089
"Bumblebees","IGSH","rho",1.80007223176627,0.477947790354038,1.10699326021282,2.94639066878463
"Bumblebees","IGCO","rho",1.79600335872832,0.484656551551057,1.10230510142552,2.94080142141695
"Hoverflies","IDMSH","rho",0.113622577348735,0.010923243838416,0.0937867876383548,0.136163890295109
"Hoverflies","SOM","rho",5.03881542578556,2.88209473760082,0.255126426778676,9.75073400453187
