"Parameter","Rhat","nRows"
"Cov[9, 16]",1.05027351004082,372
"Cov[9, 17]",1.03256984291272,372
"Cov[10, 1]",1.00481561069613,372
"Cov[10, 2]",1.04511236186108,372
"Cov[10, 3]",1.0155587641122,372
"Cov[10, 4]",1.034737901691,372
"Cov[10, 5]",1.07727108930427,372
"Cov[10, 6]",1.00771327137671,372
"Cov[10, 7]",1.01770965156034,372
"Cov[10, 8]",1.01676952767125,372
"Cov[10, 9]",1.00471029775286,372
"Cov[10, 10]",1.04170863434653,372
"Cov[10, 11]",1.02051740002968,372
"Cov[10, 12]",1.02826163866883,372
"Cov[10, 13]",1.00641392962587,372
"Cov[10, 14]",1.02286025416387,372
"Cov[10, 15]",1.0868929028919,372
"Cov[10, 16]",1.00092645408326,372
"Cov[10, 17]",1.01670298990775,372
"Cov[11, 1]",1.00706050514045,372
"Cov[11, 2]",1.13233750022278,372
"Cov[11, 3]",1.02666842642363,372
"Cov[11, 4]",1.06292102109293,372
"Cov[11, 5]",1.06716394526521,372
"Cov[11, 6]",1.00481952707623,372
"Cov[11, 7]",1.07777331091216,372
"Cov[11, 8]",1.03788603177883,372
"Cov[11, 9]",1.00320839877574,372
"Cov[11, 10]",1.02051740002968,372
"Cov[11, 11]",1.02524405521684,372
"Cov[11, 12]",1.03245501268215,372
"Cov[11, 13]",1.00506129616925,372
"Cov[11, 14]",1.02010398301868,372
"Cov[11, 15]",1.09718287307914,372
"Cov[11, 16]",1.02251552989433,372
"Cov[11, 17]",1.00935406463315,372
"Cov[12, 1]",1.00155079957222,372
"Cov[12, 2]",1.14506485865909,372
"Cov[12, 3]",1.00853822850267,372
"Cov[12, 4]",1.04782898767394,372
"Cov[12, 5]",1.08449186792169,372
"Cov[12, 6]",1.00915871330851,372
"Cov[12, 7]",1.08651532506066,372
"Cov[12, 8]",1.06954789153263,372
"Cov[12, 9]",1.06325574669254,372
"Cov[12, 10]",1.02826163866883,372
"Cov[12, 11]",1.03245501268215,372
"Cov[12, 12]",1.06944192507003,372
"Cov[12, 13]",1.0067078127917,372
"Cov[12, 14]",1.00140098452078,372
"Cov[12, 15]",1.14353907419082,372
"Cov[12, 16]",1.10067038393639,372
"Cov[12, 17]",1.01851821729202,372
"Cov[13, 1]",1.02513454033322,372
"Cov[13, 2]",1.01002388429276,372
"Cov[13, 3]",0.999965857535115,372
"Cov[13, 4]",1.01168625962804,372
"Cov[13, 5]",1.01096231830197,372
"Cov[13, 6]",1.01199270037541,372
"Cov[13, 7]",1.00474757328198,372
"Cov[13, 8]",1.01722787365914,372
"Cov[13, 9]",1.03606860173516,372
"Cov[13, 10]",1.00641392962587,372
"Cov[13, 11]",1.00506129616925,372
"Cov[13, 12]",1.0067078127917,372
"Cov[13, 13]",1.05519163709431,372
"Cov[13, 14]",1.11006187257258,372
"Cov[13, 15]",1.00222881133888,372
"Cov[13, 16]",1.0080085349932,372
"Cov[13, 17]",1.02000369649096,372
"Cov[14, 1]",1.0101771680505,372
"Cov[14, 2]",1.00750476458988,372
"Cov[14, 3]",1.00080165997473,372
"Cov[14, 4]",1.03428846735118,372
"Cov[14, 5]",1.01183314387888,372
"Cov[14, 6]",1.01574207174626,372
"Cov[14, 7]",1.00831396423605,372
"Cov[14, 8]",1.01936510470434,372
"Cov[14, 9]",1.0170031948455,372
"Cov[14, 10]",1.02286025416387,372
"Cov[14, 11]",1.02010398301868,372
"Cov[14, 12]",1.00140098452078,372
"Cov[14, 13]",1.11006187257258,372
"Cov[14, 14]",1.01702770963219,372
"Cov[14, 15]",1.02560855394233,372
"Cov[14, 16]",1.02242877647638,372
"Cov[14, 17]",1.02826346219244,372
"Cov[15, 1]",1.00092436339459,372
"Cov[15, 2]",1.22341981390994,372
"Cov[15, 3]",1.00084192278888,372
"Cov[15, 4]",1.11834437781473,372
"Cov[15, 5]",1.22000056558982,372
"Cov[15, 6]",1.01350140457959,372
"Cov[15, 7]",1.2312163386636,372
"Cov[15, 8]",1.1691061592251,372
"Cov[15, 9]",1.01689815130171,372
"Cov[15, 10]",1.0868929028919,372
"Cov[15, 11]",1.09718287307914,372
"Cov[15, 12]",1.14353907419082,372
"Cov[15, 13]",1.00222881133888,372
"Cov[15, 14]",1.02560855394233,372
"Cov[15, 15]",1.17320058112908,372
"Cov[15, 16]",1.01739317583779,372
"Cov[15, 17]",1.00566148082572,372
"Cov[16, 1]",1.01372081526541,372
"Cov[16, 2]",1.01035075459004,372
"Cov[16, 3]",1.02761854169017,372
"Cov[16, 4]",1.01510184172604,372
"Cov[16, 5]",1.01783552659121,372
"Cov[16, 6]",1.07641587916506,372
"Cov[16, 7]",1.00909173244099,372
"Cov[16, 8]",1.01351212126204,372
"Cov[16, 9]",1.05027351004082,372
"Cov[16, 10]",1.00092645408326,372
"Cov[16, 11]",1.02251552989433,372
"Cov[16, 12]",1.10067038393639,372
"Cov[16, 13]",1.0080085349932,372
"Cov[16, 14]",1.02242877647638,372
"Cov[16, 15]",1.01739317583779,372
"Cov[16, 16]",1.11502786649465,372
"Cov[16, 17]",1.18621117699156,372
"Cov[17, 1]",1.00462875676659,372
"Cov[17, 2]",1.028430931162,372
"Cov[17, 3]",1.00008567887657,372
"Cov[17, 4]",1.05487492338277,372
"Cov[17, 5]",1.02645447677639,372
"Cov[17, 6]",1.05946966969555,372
